"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"1","6",0.892854288285525,"6",0.787562424432083,"6",0.999999999994221,"6",0.5,"6",0.96,"6",0.765,"3",0.492262719067818,"6",0.822916666666667,6,6,7,0,6,0
"2","1",0.644651597108516,"1",0.905416710589064,"1",0.999999999884216,"10",0.5,"10",0.8,"10",0.515,"11",0.472683252137438,"10",0.903225806451613,9,10,4,1,1,1
"3","10",0.45903042137804,"11",0.820692000266872,"11",0.999992942541655,"10",0.5,"10",0.56,"10",0.39,"11",0.482999825951701,"1",0.326388888888889,11,10,4,1,11,0
"4","11",0.481523715637205,"11",0.844956451981273,"11",0.999999973466375,"11",0.880797077977882,"1",0.6,"11",0.455,"5",0.5573781113627,"1",0.326388888888889,11,11,5,0,11,0
"5","1",0.439005817060409,"9",0.450489488745502,"1",0.982830348685757,"1",0.5,"1",0.68,"1",0.46,"2",0.529864834781291,"1",0.326388888888889,9,1,6,1,1,1
"6","11",0.653523921647207,"11",0.510652491288827,"11",0.996460052323908,"11",0.5,"11",0.4,"11",0.59,"3",0.684538722935811,"1",0.326388888888889,11,11,6,0,11,0
"7","10",0.416495465998159,"10",0.895081737183628,"10",0.999999999423348,"10",0.880797077977882,"1",0.52,"10",0.275,"11",0.482861215588132,"1",0.277777777777778,10,10,5,0,10,0
"8","2",0.390885313795184,"2",0.764271254403613,"2",0.999118472199666,"2",0.880797077977882,"1",0.72,"2",0.31,"6",0.752257436922551,"1",0.277777777777778,11,2,5,1,2,1
"9","1",0.471563115418094,"1",0.266208704130605,"1",0.998258105565141,"1",0.119202922022118,"1",0.8,"1",0.465,"11",0.48167037590069,"1",0.326388888888889,1,1,7,0,1,0
"10","1",0.403810229223511,"1",0.283252861117173,"1",0.964350772038686,"1",0.5,"1",0.72,"1",0.435,"11",0.477913756380521,"1",0.326388888888889,9,1,7,1,1,1
"11","1",0.390448375677489,"2",0.300180986256165,"1",0.999947620537187,"1",0.5,"1",0.44,"1",0.375,"6",0.56926054024631,"1",0.277777777777778,1,1,6,0,1,0
"12","11",0.603830378684437,"11",0.573183098425842,"10",0.999946115148408,"10",0.5,"2",0.32,"11",0.38,"11",0.482999825951701,"11",0.9,11,11,5,0,10,1
"13","11",0.870133304585318,"11",0.974785567809018,"11",1,"11",0.997527376843365,"11",1,"11",0.9,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"14","11",0.870133304585318,"11",0.974785567809018,"11",1,"11",0.997527376843365,"11",1,"11",0.9,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"15","11",0.870133304585318,"11",0.974785567809018,"11",1,"11",0.997527376843365,"11",1,"11",0.9,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"16","11",0.948346230311298,"11",0.9674046177913,"11",1,"11",0.997527376843365,"11",1,"11",0.895,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"17","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"18","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"19","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"20","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"21","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"22","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"23","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"24","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"25","11",0.903828485217927,"11",0.977582105772852,"11",1,"11",0.999664649869534,"11",1,"11",0.885,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"26","11",0.70028132009306,"11",0.907803645825647,"11",0.995857791166118,"11",0.982013790037908,"11",1,"11",0.745,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"27","11",0.922526273023782,"11",0.943039911851902,"11",0.999999999999682,"11",0.997527376843365,"11",1,"11",0.925,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
"28","11",0.648953313779912,"11",0.210557678801507,"10",0.801343193959722,"10",0.5,"11",0.64,"11",0.37,"11",0.482982566371416,"1",0.277777777777778,11,11,5,0,10,1
"29","10",0.598282829712586,"10",0.437686591023546,"10",0.999999782501534,"10",0.119202922022118,"10",0.88,"10",0.43,"11",0.482780784102754,"1",0.326388888888889,10,10,6,0,10,0
"30","11",0.909606207790078,"11",0.960514455174255,"11",1,"11",0.999664649869534,"11",1,"11",0.9,"11",0.482999825951701,"11",0.977272727272727,11,11,8,0,11,0
